From,Entry,Entry Name,Protein names,Gene Names,Organism,Organism (ID),Length,Mass,Subcellular location [CC],Signal peptide,Helix,Beta strand,Turn,Fragment,Reviewed
P0C0Z7,P0C0Z7,CH60_CHLTR,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60),groEL groL hypB mopA CT_110,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,544,58147,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,,,,,,reviewed
P0C8S3,P0C8S3,RL7_COXBU,Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12),rplL CBU_0229,Coxiella burnetii (strain RSA 493 / Nine Mile phase I),227377,126,13248,,,,,,,reviewed
P0C922,P0C922,DNAK_BORBU,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),dnaK BB_0518,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,635,69276,,,,,,,reviewed
P0C923,P0C923,CH60_BORBU,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60),groEL groL mopA BB_0649,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,545,58952,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,,,,,,reviewed
P0CC04,P0CC04,OMCBD_CHLTR,Large cysteine-rich periplasmic protein OmcB (Large-CRP) (60 kDa cysteine-rich OMP) (60 kDa outer membrane protein) (Cysteine-rich outer membrane protein) (CRP),omcB omp2 omp2B CT_443,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,547,58694,SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.,"SIGNAL 1..22; /evidence=""ECO:0000255""",,,,,reviewed
P0CD83,P0CD83,RL16_CHLTR,Large ribosomal subunit protein uL16 (50S ribosomal protein L16),rplP rl16 CT_521,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,138,15803,,,,,,,reviewed
P0CE15,P0CE15,HCT1_CHLTR,Histone H1-like protein Hc1 (18 kDa histone analog),hctA CT_743,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,125,13681,,,,,,,reviewed
P0CI27,P0CI27,INCA_CHLTR,Inclusion membrane protein A,incA CT_119,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,273,30327,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:A0A0H3MD02}. Host vacuole, host pathogen-containing vacuole, host pathogen-containing vacuole membrane {ECO:0000269|PubMed:9826388, ECO:0000305|PubMed:10603409, ECO:0000305|PubMed:11402010}; Multi-pass membrane protein {ECO:0000255}. Note=Secreted, probably by a type III secretion system (Probable) (PubMed:9826388). Localized in the inclusion membrane (Probable) (PubMed:9826388). In the inclusion, the C-terminus faces the host cytosol (By similarity). {ECO:0000250|UniProtKB:A0A0H3MD02, ECO:0000269|PubMed:9826388, ECO:0000305|PubMed:10603409, ECO:0000305|PubMed:11402010}.",,"HELIX 89..123; /evidence=""ECO:0007829|PDB:6E7E""; HELIX 129..142; /evidence=""ECO:0007829|PDB:6E7E""; HELIX 145..149; /evidence=""ECO:0007829|PDB:6E7E""; HELIX 150..158; /evidence=""ECO:0007829|PDB:6E7E""; HELIX 164..167; /evidence=""ECO:0007829|PDB:6E7E""; HELIX 172..192; /evidence=""ECO:0007829|PDB:6E7E""; HELIX 195..204; /evidence=""ECO:0007829|PDB:6E7E""; HELIX 210..246; /evidence=""ECO:0007829|PDB:6E7E""",,"TURN 124..127; /evidence=""ECO:0007829|PDB:6E7E""",,reviewed
P0CL66,P0CL66,OSPA_BORBU,Outer surface protein A,ospA BB_A15,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,273,29367,"SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000305|PubMed:2761388}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303, ECO:0000305|PubMed:10426995}. Cell surface {ECO:0000305|PubMed:2761388}.","SIGNAL 1..16; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00303""","HELIX 26..28; /evidence=""ECO:0007829|PDB:1OSP""; HELIX 265..271; /evidence=""ECO:0007829|PDB:2I5V""","STRAND 30..34; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 38..42; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 48..50; /evidence=""ECO:0007829|PDB:2OY7""; STRAND 52..58; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 61..72; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 74..79; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 85..90; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 97..102; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 108..115; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 121..126; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 132..138; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 140..142; /evidence=""ECO:0007829|PDB:8TUZ""; STRAND 144..149; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 152..154; /evidence=""ECO:0007829|PDB:7T25""; STRAND 156..162; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 165..171; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 173..182; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 185..192; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 197..203; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 212..217; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 222..227; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 230..237; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 243..248; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 252..255; /evidence=""ECO:0007829|PDB:2I5V""; STRAND 260..262; /evidence=""ECO:0007829|PDB:2I5Z""","TURN 35..37; /evidence=""ECO:0007829|PDB:2I5V""; TURN 92..95; /evidence=""ECO:0007829|PDB:6J5R""; TURN 117..119; /evidence=""ECO:0007829|PDB:3AUM""; TURN 128..130; /evidence=""ECO:0007829|PDB:6IYS""; TURN 208..210; /evidence=""ECO:0007829|PDB:2I5V""; TURN 218..221; /evidence=""ECO:0007829|PDB:2I5V""; TURN 239..241; /evidence=""ECO:0007829|PDB:8TVD""",,reviewed
P0CL67,P0CL67,P22_BORBU,Outer surface 22 kDa lipoprotein (Antigen IPLA7),p22 BB_0365,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,194,21866,SUBCELLULAR LOCATION: Cell outer membrane; Lipid-anchor.,"SIGNAL 1..21; /evidence=""ECO:0000305""","HELIX 50..60; /evidence=""ECO:0007829|PDB:6R1G""; HELIX 66..68; /evidence=""ECO:0007829|PDB:6R1G""; HELIX 69..73; /evidence=""ECO:0007829|PDB:6R1G""; HELIX 145..148; /evidence=""ECO:0007829|PDB:6R1G""; HELIX 169..188; /evidence=""ECO:0007829|PDB:6R1G""; HELIX 189..191; /evidence=""ECO:0007829|PDB:6R1G""","STRAND 77..84; /evidence=""ECO:0007829|PDB:6R1G""; STRAND 87..94; /evidence=""ECO:0007829|PDB:6R1G""; STRAND 98..104; /evidence=""ECO:0007829|PDB:6R1G""; STRAND 107..116; /evidence=""ECO:0007829|PDB:6R1G""; STRAND 119..127; /evidence=""ECO:0007829|PDB:6R1G""; STRAND 131..142; /evidence=""ECO:0007829|PDB:6R1G""; STRAND 150..152; /evidence=""ECO:0007829|PDB:6R1G""; STRAND 154..156; /evidence=""ECO:0007829|PDB:6R1G""",,,reviewed
P0DJI4,P0DJI4,INCE_CHLTR,Inclusion membrane protein E,incE CT_116,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,132,13555,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:B0B9M4}. Host vacuole, host pathogen-containing vacuole, host pathogen-containing vacuole membrane {ECO:0000250|UniProtKB:B0B9M4}; Multi-pass membrane protein {ECO:0000255}. Note=Secreted, probably by a type III secretion system (By similarity). Localized in the inclusion membrane (By similarity). {ECO:0000250|UniProtKB:B0B9M4}.",,,"STRAND 113..117; /evidence=""ECO:0007829|PDB:5TP1""; STRAND 126..129; /evidence=""ECO:0007829|PDB:5TP1""",,,reviewed
P0DOA6,P0DOA6,ESXI_MYCTU,ESAT-6-like protein EsxI (Antigen Mtb9.9B),esxI Rv1037c MTCY10G2.12,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,94,9833,SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:19876390}. Note=Probably secreted via the ESX-5 / type VII secretion system (T7SS). {ECO:0000305|PubMed:19876390}.,,,,,,reviewed
P0DPS6,P0DPS6,INCG_CHLTR,Inclusion membrane protein G,incG CT_118,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),272561,167,17405,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:A0A0H3MGR4}. Host vacuole, host pathogen-containing vacuole, host pathogen-containing vacuole membrane {ECO:0000305|PubMed:11260479}; Multi-pass membrane protein {ECO:0000255}. Note=Secreted, probably by a type III secretion system (By similarity). Localized in the inclusion membrane (By similarity). {ECO:0000250|UniProtKB:A0A0H3MGR4}.",,,,,,reviewed
P10520,P10520,STRP_STRP1,Streptokinase A,ska SPy_1979 M5005_Spy1684,Streptococcus pyogenes serotype M1,301447,440,49924,,SIGNAL 1..26,,,,,reviewed
P11089,P11089,FLA1_BORBU,Flagellar filament 41 kDa core protein (Flagellin) (41 kDa antigen) (P41),fla BB_0147,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,336,35766,SUBCELLULAR LOCATION: Periplasmic flagellum. Periplasm.,,,,,,reviewed
P11311,P11311,ADP1_MYCPN,Adhesin P1 (Attachment protein) (Cytadhesin P1),mgpA MPN_141 MP013,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1) (Mycoplasmoides pneumoniae),272634,1627,176270,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20199607}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, attachment organelle {ECO:0000269|PubMed:20199607}. Cell surface {ECO:0000269|PubMed:20199607}. Note=Found on the cell surface, including in the tip (attachment) organelle. {ECO:0000269|PubMed:20199607}.",SIGNAL 1..59,"HELIX 113..123; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 205..209; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 210..213; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 248..253; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 309..311; /evidence=""ECO:0007829|PDB:7BWM""; HELIX 329..332; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 359..363; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 366..369; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 396..400; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 405..408; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 417..425; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 439..441; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 445..448; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 463..465; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 484..489; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 542..545; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 551..553; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 608..610; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 612..618; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 631..633; /evidence=""ECO:0007829|PDB:7BWM""; HELIX 642..644; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 663..665; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 671..677; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 679..682; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 702..709; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 740..745; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 754..756; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 762..766; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 780..786; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 798..807; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 823..825; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 915..919; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 982..984; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 989..1001; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1020..1022; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1027..1032; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1034..1037; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1050..1058; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1060..1063; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1147..1153; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1159..1161; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1180..1186; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1196..1200; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1219..1222; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1250..1252; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1256..1259; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1260..1262; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1264..1275; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1303..1306; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1327..1336; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1371..1373; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1412..1414; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1417..1420; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1425..1427; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1438..1440; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1441..1444; /evidence=""ECO:0007829|PDB:6RC9""; HELIX 1453..1455; /evidence=""ECO:0007829|PDB:6RC9""","STRAND 78..81; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 87..93; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 126..131; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 137..141; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 183..190; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 197..203; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 257..259; /evidence=""ECO:0007829|PDB:7BWM""; STRAND 287..292; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 306..308; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 314..316; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 372..378; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 382..384; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 386..393; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 431..433; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 472..475; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 494..497; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 500..503; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 522..528; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 530..533; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 535..541; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 574..582; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 585..592; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 634..636; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 648..650; /evidence=""ECO:0007829|PDB:7BWM""; STRAND 690..693; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 732..738; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 787..791; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 826..828; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 862..865; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 890..893; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 896..898; /evidence=""ECO:0007829|PDB:7BWM""; STRAND 906..908; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 911..914; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 962..964; /evidence=""ECO:0007829|PDB:7BWM""; STRAND 966..968; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1006..1010; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1041..1045; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1067..1071; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1086..1092; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1107..1109; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1112..1117; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1120..1129; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1137..1141; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1156..1158; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1162..1167; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1169..1171; /evidence=""ECO:0007829|PDB:7BWM""; STRAND 1173..1178; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1215..1218; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1286..1291; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1366..1368; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1374..1379; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1384..1386; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1391..1393; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1428..1430; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1456..1464; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1469..1477; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1498..1500; /evidence=""ECO:0007829|PDB:6RC9""; STRAND 1508..1513; /evidence=""ECO:0007829|PDB:6RC9""","TURN 72..74; /evidence=""ECO:0007829|PDB:6RC9""; TURN 143..145; /evidence=""ECO:0007829|PDB:6RC9""; TURN 163..165; /evidence=""ECO:0007829|PDB:6RC9""; TURN 178..182; /evidence=""ECO:0007829|PDB:6RC9""; TURN 414..416; /evidence=""ECO:0007829|PDB:6RC9""; TURN 435..437; /evidence=""ECO:0007829|PDB:6RC9""; TURN 509..511; /evidence=""ECO:0007829|PDB:6RC9""; TURN 546..548; /evidence=""ECO:0007829|PDB:6RC9""; TURN 655..657; /evidence=""ECO:0007829|PDB:6RC9""; TURN 683..686; /evidence=""ECO:0007829|PDB:6RC9""; TURN 811..813; /evidence=""ECO:0007829|PDB:6RC9""; TURN 817..820; /evidence=""ECO:0007829|PDB:6RC9""; TURN 955..957; /evidence=""ECO:0007829|PDB:6RC9""; TURN 1190..1193; /evidence=""ECO:0007829|PDB:6RC9""; TURN 1297..1300; /evidence=""ECO:0007829|PDB:7BWM""; TURN 1362..1364; /evidence=""ECO:0007829|PDB:6RC9""; TURN 1431..1434; /evidence=""ECO:0007829|PDB:6RC9""; TURN 1465..1468; /evidence=""ECO:0007829|PDB:6RC9""",,reviewed
P11439,P11439,TOXA_PSEAE,Exotoxin A (ETA) (EC 2.4.2.36) (NAD(+)--diphthamide ADP-ribosyltransferase) (Pseudomonas exotoxin) (PE),eta PA1148,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),208964,638,69284,,"SIGNAL 1..25; /evidence=""ECO:0000269|PubMed:6201861""","HELIX 32..35; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 57..60; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 164..170; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 213..216; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 218..223; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 225..227; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 230..235; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 243..246; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 280..290; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 294..298; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 307..311; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 313..325; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 330..332; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 333..342; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 348..356; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 358..376; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 384..387; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 408..410; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 422..424; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 444..456; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 469..477; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 489..491; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 500..504; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 530..535; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 548..556; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 583..587; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 609..611; /evidence=""ECO:0007829|PDB:1IKP""; HELIX 614..617; /evidence=""ECO:0007829|PDB:1IKP""","STRAND 36..43; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 49..54; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 63..74; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 80..85; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 89..93; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 95..102; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 106..108; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 110..115; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 117..120; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 122..131; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 136..145; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 151..154; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 157..161; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 173..180; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 189..201; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 249..255; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 270..273; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 392..396; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 399..403; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 413..418; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 428..430; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 433..435; /evidence=""ECO:0007829|PDB:1DMA""; STRAND 438..440; /evidence=""ECO:0007829|PDB:1DMA""; STRAND 459..467; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 493..499; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 522..529; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 536..538; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 543..545; /evidence=""ECO:0007829|PDB:3B8H""; STRAND 558..561; /evidence=""ECO:0007829|PDB:1DMA""; STRAND 566..572; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 577..581; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 590..593; /evidence=""ECO:0007829|PDB:1IKP""; STRAND 626..628; /evidence=""ECO:0007829|PDB:1IKP""","TURN 76..79; /evidence=""ECO:0007829|PDB:1IKP""; TURN 86..88; /evidence=""ECO:0007829|PDB:1IKP""; TURN 344..347; /evidence=""ECO:0007829|PDB:1IKP""",,reviewed
P12809,P12809,18KD_MYCLE,18 kDa antigen (HSP 16.7),hsp18 ML1795,Mycobacterium leprae (strain TN),272631,148,16707,,,,,,,reviewed
